gameCreation,gameDuration,gameVersion,mapId,gameId
1537930937371,2141,8.18.245.7444,11,1477135099
1537933537512,1838,8.18.245.7444,11,1477146052
1537936220849,1977,8.18.245.7444,11,1477172149
1537992046562,1712,8.19.246.5109,11,1477516494
1537994306795,2220,8.19.246.5109,11,1477536824
1537997062618,1658,8.19.246.5109,11,1477559304
1538005200916,2083,8.19.246.5109,11,1477645433
1538007993360,1594,8.19.246.5109,11,1477692509
1538010379871,2048,8.19.246.5109,11,1477716641
1538012939694,1719,8.19.246.5109,11,1477750044
1538015035977,1374,8.19.246.5109,11,1477760227
1538080671596,2155,8.19.246.5109,11,1478077815
1538083748490,1780,8.19.246.5109,11,1478243634
1538086341781,1905,8.19.246.5109,11,1478278479
1538106910651,1665,8.19.246.5109,11,1478521871
1538109199828,1923,8.19.246.5109,11,1478528757
1538111587302,1923,8.19.246.5109,11,1478544195
1538114420997,1471,8.19.246.5109,11,1478548745
1538412731699,1421,8.19.246.5109,11,1481346349
1538414977326,1927,8.19.246.5109,11,1481373056
1538417841301,1461,8.19.246.5109,11,1481388833
1538424914184,1264,8.19.246.5109,11,1481470151
1538426533679,1572,8.19.246.5109,11,1481480770
1538439876533,2760,8.19.246.5109,11,1481652539
1538443741906,1316,8.19.246.5109,11,1481701199
1538591358297,1655,8.19.246.5109,11,1482781743
1538594492913,1122,8.19.246.5109,11,1482816506
1538596007758,2047,8.19.246.5109,11,1482833919
1538598635894,1512,8.19.246.5109,11,1482846628
1538600892300,193,8.19.246.5109,11,1482878604
1538601715814,1374,8.19.246.5109,11,1482892780
1538821095816,2184,8.19.246.5109,11,1484740334
1538824069198,1635,8.19.246.5109,11,1484752396
1538826523985,1533,8.19.246.5109,11,1484755352
1538828614809,1213,8.19.246.5109,11,1484759164
1538831020992,1666,8.19.246.5109,11,1484774994
1538833372116,1181,8.19.246.5109,11,1484792867
1538835508918,1859,8.19.246.5109,11,1484801683
1538838184606,1914,8.19.246.5109,11,1484824097
1538954649895,1005,8.19.246.5109,11,1486275571
1539088386948,1289,8.19.246.5109,11,1487196649
1539090124143,927,8.19.246.5109,11,1487199463
1539093459263,1292,8.19.246.5109,11,1487206447
1539091705003,1381,8.19.246.5109,11,1487212316
1539097977087,1680,8.19.246.5109,11,1487296837
1539095674462,1521,8.19.246.5109,11,1487301024
1539100136072,1831,8.19.246.5109,11,1487342384
1539697584826,871,8.20.249.1952,11,1492988700
1539700061172,2275,8.20.249.1952,11,1493004261
1539915608926,1280,8.20.249.1952,11,1494723387
1539917931891,589,8.20.249.1952,12,1494752944
1540068290788,1714,8.20.249.1952,11,1495912806
1540071087671,1255,8.20.249.1952,11,1495962759
1540072977327,1915,8.20.249.1952,11,1496023282
1540075396061,985,8.20.249.1952,11,1496088444
1540146735780,1623,8.20.249.1952,11,1496658532
1540149093449,1481,8.20.249.1952,11,1496686331
1540151412759,1884,8.20.249.1952,11,1496730778
1540154496829,933,8.20.249.1952,11,1496772027
1540156070756,1980,8.20.249.1952,11,1496792221
1540498627804,2401,8.21.250.2733,11,1499409442
1540501576691,1829,8.21.250.2733,11,1499443095
1540503970561,914,8.21.250.2733,11,1499474645
1540505529692,2039,8.21.250.9462,11,1499493226
1540508296802,1824,8.21.250.9462,11,1499518890
1540559113518,1680,8.21.250.9462,11,1499786416
1540561477518,1657,8.21.250.9462,11,1499801699
1540671757574,1553,8.21.250.9462,11,1500886911
1540673980422,1716,8.21.250.9462,11,1500922300
1540676224567,1670,8.21.250.9462,11,1500947270
1540678399803,1053,8.21.250.9462,11,1501071157
1540680062474,922,8.21.250.9462,11,1501132568
1541034024107,1937,8.21.251.4430,11,1504014014
1541201089951,2784,8.21.251.4430,11,1505569390
1541412967582,1450,8.21.251.4430,11,1507616339
1541415198364,1452,8.21.251.4430,11,1507617864
1541449068063,1758,8.21.251.4430,11,1507981852
1541451429714,1362,8.21.251.4430,11,1507996858
1541453557763,1742,8.21.251.4430,11,1508018813
1541804248465,1872,8.22.252.2691,11,1510868953
1541806765637,1749,8.22.252.2691,11,1510906941
1541809817635,1382,8.22.252.2691,11,1510948565
1541812094201,1401,8.22.252.2691,11,1510975202
1546535655212,1860,8.24.255.8524,11,1552478427
1546947684594,1536,8.24.255.8524,11,1556377634
1546950032551,1461,8.24.255.8524,11,1556391304
1547034657124,1778,9.1.257.7563,11,1557226739
1547037319321,1247,9.1.257.7563,11,1557300292
1547123198652,1771,9.1.257.7563,11,1557979789
1547162681793,1710,9.1.257.7563,11,1558334623
1547686098972,1461,9.1.257.7563,11,1562843728
1548255512193,1814,9.1.257.7563,11,1567562403
1548503362211,1252,9.2.261.2172,11,1570235160
1548505297514,1937,9.2.261.2172,11,1570239261
1548677802663,1693,9.2.261.2172,11,1571986276
1548680125614,2013,9.2.261.2172,11,1572002006
1548682829293,1785,9.2.261.2172,11,1572020272
1548695009170,1195,9.2.261.2172,11,1572166431
1548698499443,499,9.2.261.2172,11,1572271560
1548699356000,867,9.2.261.2172,11,1572290479
1547763009885,2045,9.1.257.7563,11,2954846905
